Unknown,US,EMEA,ASIA,CANADA,LATAM
AZHLB,AZNGS,DEKAR,CNST8,PQSHE,HNSAN
AZKIN,AZNTR,DEKAS,CNSUH,PQSTL,HNSAP
AZLAK,AZPAG,DEKEM,CNSYA,PQTRO,HNSNP
AZMES,AZPAY,DEKIE,CNSZ1,QCBRO,HNSPG
AZPAG,AZPHO,DEKIR,CNTAJ,QCHBW,HNTEG
AZPAY,AZPHX,DEKLI,CNTIN,QCMIR,HNTGC
AZPHO,AZPNE,DEKLS,CNTZH,QCMNT,HTPOR
AZPHX,AZPNI,DEKOL,CNWAN,QCSLR,JMKGS
AZPNI,AZPOE,DEKON,CNWUI,SKRGA,JMKNN
AZPOE,AZPRE,DEKRE,CNWUN,SKSSK,JMKTP
AZPRE,AZQUN,DEKRI,CNWZH,,JMMBJ
AZRIV,AZRIV,DELAG,CNXAI,,KNNEV
AZSAF,AZS51,DELAH,CNXAN,,KYGRN
AZSHO,AZSAF,DELAN,CNXWI,,MX301
AZSIE,AZSHO,DELOB,CNYIN,,MX38X
AZSON,AZSIE,DEMCH,CNYIU,,MXAGU
AZTEM,AZSON,DEMDG,CNYYO,,MXBEN
AZTOL,AZTEM,DEMOM,CNYYR,,MXCDJ
AZTUC,AZTOL,DEMRG,CNZHH,,MXCHA
AZW10,AZTSO,DEMUC,CNZHS,,MXCHI
AZYUM,AZTUC,DENEU,CNZQG,,MXCIN
BCABT,AZW10,DENHS,GUTAM,,MXCIU
BCCOU,AZYUM,DENIB,HKCHE,,MXCLM
BCKAM,CAADR,DENOT,HKCKL,,MXCNN
BCKEO,CAANA,DENRM,HKCLK,,MXCTY
BCNAO,CAANG,DENSS,HKHCH,,MXCUE
BCRIM,CAANT,DENUR,HKHKN,,MXGLA
BCRMD,CAAPT,DEOBL,HKHKO,,MXGUA
BCVCR,CAATR,DEOBT,HKHNG,,MXGUL
BCVIC,CAAVA,DEOSC,HKKCH,,MXHRM
BEANT,CABAK,DEOTZ,HKKOW,,MXJMP
BEBSE,CABAR,DEPAD,HKSHK,,MXLEO
BEBSL,CABAS,DEREI,HKTWN,,MXMAN
BEDIE,CABAY,DEREN,IDJAR,,MXMCT
BEFRO,CABFE,DEROS,IDJAT,,MXMEL
BELUM,CABIH,DESAA,IDJRT,,MXMIC
BEREK,CABLL,DESCA,IDPJO,,MXMOT
BGOFI,CABLO,DESCH,IDRTA,,MXMRD
BGSOA1-PSOF535,CABLT,DESCK,IDSRA,,MXMRE
BOLPA,CABOY,DESXF,IN1PN,,MXMRR
BOLPZ,CABRA,DETRO,IN916,,MXMTR
BRCAJ,CABRN,DEUEL,INACC,,MXMXO
BRCAM,CABSD,DEULM,INAMA,,MXNAU
BRCPS,CABUA,DEUMK,INBAI,,MXNUV
BRCUR,CABUR,DEWAL,INBGA,,MXPCH
BRGOI,CACEE,DEWEN,INBGE,,MXPUE
BRMNA,CACER,DEWES,INBHS,,MXPVL
BRSAN,CACHI,DEWIT,INBNG,,MXQUE
BRSAO,CACHV,DEWLL,INBWH,,MXREY
BRSPA,CACLR,DEWOL,INCAC,,MXSAL
CAADR,CACMR,DEWSL,INCNA,,MXSAN
CAANA,CACON,DEWUP,INCNI,,MXTAX
CAANG,CACOR,DKAAB,INCOC,,MXTIJ
CAANT,CACPT,DKAAU,INGGN,,MXTMP
CAAPT,CACRE,DKCOP,INJAI,,MXTOL
CAATR,CACRU,DKCPN,INKKT,,MXTOR
CAAVA,CACTR,DKVEJ,INLUD,,MXVCZ
CABAK,CACVA,DZAGR,INMMI,,MXVIL
CABAR,CACXC,DZALS,INMMU,,NFMNP
CABAY,CAECN,EETNN,INMOR,,NIMAA
CABIH,CAEJS,EGCAI,INMUA,,NIMAG
CABLL,CAELC,EGCIO,INMVR,,NIMGU
CABLO,CAESN,EGCRO,INMWP,,PACOL
CABLT,CAEUR,ESALI,INNDH,,PACOO
CABOY,CAFAN,ESAST,INNLI,,PAPAN
CABRA,CAFCO,ESBAD,INOKH,,PAPTY
CABRN,CAFLR,ESBAL,INTIR,,PAPTY
CABSD,CAFNA,ESBCA,INUNE,,PATOC
CABUA,CAFNN,ESBCN,INYDR,,PECAR
CABUR,CAFRE,ESBEN,JPAKA,,PECLO
CACEE,CAFRN,ESBIL,JPATS,,PEJAV
CACER,CAFSN,ESBRS,JPAZA,,PELIM
CACHI,CAFTN,ESDDA,JPFKU,,PYASN
CACHV,CAGAR,ESGUR,JPFOK,,PYASU
CACLR,CAGVA,ESLAC,JPFUA,,SVSAG
CACMR,CAGVS,ESMAI,JPHAM,,SVSSA
CACON,CAHAD,ESMAL,JPHRO,,SVSSL
CACOR,CAHAR,ESMAN,JPHSH,,SVSSO
CACPT,CAHAW,ESMAR,JPHYO,,SVSSV
CACRE,CAHAY,ESMCO,JPKAM,,TCPRO
CACRU,CAHIL,ESMDH,JPKIX,,TTPOS
CACTR,CAHYC,ESSEV,JPKNA,,UYMON
CACVA,CAIWD,ESSFD,JPKSK,,VECAA
CACXC,CAJOG,ESSVQ,JPKUN,,VGTOR
CAECN,CAJOS,ESVID,JPKUR,,VISTC
CAEJS,CAKET,ESVIG,JPKYT,,VISTT
CAELC,CALAG,ESVTA,JPMKU,,
CAESN,CALAH,ESZAR,JPNCH,,
CAEUR,CALAK,FIHLS,JPNGA,,
CAFAN,CALAN,FIHVN,JPNGY,,
CAFLR,CALBE,FITAA,JPNHA,,
CAFNA,CALEA,FITMP,JPNRI,,
CAFNN,CALEL,FITUK,JPNRT,,
CAFRE,CALMD,FRALV,JPNYA,,
CAFSN,CALMI,FRANG,JPOAK,,
CAFTN,CALOV,FRBES,JPOTE,,
CAGAR,CALTH,FRBGA,JPOYO,,
CAGVA,CAMAT,FRBGS,JPPPN,,
CAGVS,CAMDA,FRBLG,JPRKB,,
CAHAD,CAMEN,FRBOR,JPRVR,,
CAHAR,CAMER,FRBOU,JPSEN,,
CAHAW,CAMLM,FRBRU,JPSHN,,
CAHAY,CAMLO,FRCAE,JPSKA,,
CAHIL,CAMNS,FRCAN,JPSPP,,
CAIWD,CAMOJ,FRCDA,JPTAK,,
CAJOG,CAMON,FRCDG,JPTKA,,
CAJOS,CAMRD,FRCHN,JPTKM,,
CALAH,CAMRL,FRCRB,JPTKU,,
CALAK,CAMTH,FRCTL,JPUTS,,
CALAN,CANAP,FRENR,JPYKO,,
CALBE,CANEW,FRERX,JPYKU,,
CALEA,CANSF,FRFON,KENBO,,
CALEL,CAOAI,FRGRE,KHPPE,,
CALMI,CAOAK,FRLAC,KRBSN,,
CALOV,CAOAL,FRLCU,KRDAG,,
CALTH,CAOAR,FRLEM,KRGON,,
CAMAT,CAOCE,FRLHA,KRGOY,,
CAMDA,CAOKN,FRLIL,KRIHN,,
CAMEN,CAOLY,FRLIM,KRINC,,
CAMER,CAONA,FRLSX,KRKWA,,
CAMNS,CAOXN,FRLYS,KRMLL,,
CAMOJ,CAPAL,FRMAR,KRNCH,,
CAMON,CAPER,FRMAU,KRPSN,,
CAMRL,CAPET,FRMEJ,KRPYE,,
CAMTH,CAPIS,FRMGN,KRSBS,,
CANAP,CAPRI,FRMRI,KRSDG,,
CANEW,CAQUN,FRMUL,KRSOG,,
CAOAI,CARCM,FRNAB,KRUIW,,
CAOAK,CARED,FRNCY,KRYNI,,
CAOAL,CARID,FRNIC,KWDAJ,,
CAOAR,CARIV,FRNOA,KZLUG,,
CAOCE,CARMD,FRNSG,LKCOB,,
CAOKN,CAROC,FROUA,LKCOO,,
CAOLY,CARVE,FRPLA,MOMAU,,
CAONA,CASAC,FRPLI,MYGTW,,
CAOXN,CASAI,FRPOI,MYKLI,,
CAPAL,CASAL,FRREM,MYOGP,,
CAPER,CASAM,FRRNN,MYPNA,,
CAPET,CASAN,FRROU,MYPNN,,
CAPRI,CASAR,FRSAE,MYSHL,,
CAQUN,CASBE,FRSAH,MYSNG,,
CARCM,CASBR,FRSAT,MYTAM,,
CARED,CASCE,FRSJD,NZAKD,,
CARID,CASDA,FRSJQ,PHCBU,,
CARIV,CASDI,FRSON,PHCUC,,
CARMD,CASEG,FRSPL,PHEDS,,
CAROC,CASFR,FRSQF,PHILL,,
CASAC,CASGA,FRSTJ,PHMAI,,
CASAL,CASIM,FRSTR,PHMNI,,
CASAM,CASLA,FRSWI,PHMNT,,
CASAR,CASLE,FRSWT,PHPAS,,
CASBE,CASLO,FRTMU,PHPPG,,
CASBR,CASLR,FRTOR,PHPSG,,
CASCE,CASLT,FRTRO,PHQUE,,
CASDA,CASMR,FRTSE,QADOA,,
CASDI,CASMT,FRVLP,QSAS10,,
CASEG,CASNO,GALBR,QSAS11,,
CASFR,CASNR,GBAGN,QSAS12,,
CASGA,CASNT,GBATL,QSAS4,,
CASIM,CASRA,GBBAR,QSAS6 ,,
CASLA,CASTB,GBBEL,QSAS7,,
CASLO,CASTO,GBBEV,QSAS8 ,,
CASLR,CASTR,GBBLF,QSAS9,,
CASLT,CASUN,GBBOD,SAADH,,
CASMR,CASUY,GBBOT,SADHA,,
CASNO,CASVL,GBBRG,SAJED,,
CASNR,CASYL,GBBTL,SAMMM,,
CASRA,CATAC,GBBTO,SARID,,
CASTB,CATRC,GBBUN,SARIY,,
CASTO,CAUKI,GBBUR,SARYD,,
CASTR,CAVAN,GBBWA,SAX18,,
CASUN,CAVEN,GBCAF,SGCHA,,
CASUY,CAVIA,GBCLS,SGORE,,
CASVL,CAVIS,GBCOV,SGPRE,,
CASYL1,CAVNN,GBCRO,SGSAP,,
CATRC,CAVTV,GBCUM,SGSIA,,
CAUKI,CAWAL,GBDAR,SGSIG,,
CAVEN,CAWIH,GBDBY,SGSIP,,
CAVIA,CAWSA,GBDDE,THBAG,,
CAVIS,CAWSR,GBDEE,THBAO,,
CAVNN,CAWTD,GBDEW,THBNG,,
CAVTV,CAWTN,GBDRB,THPAT,,
CAWIH,CAWVR,GBDRN,THSAM,,
CAWSA,CAYRE,GBDWS,THSAP,,
